# 每 30s 采样一次。辅助工具进程累计 CPU 超 90s 自动 nice 19。
10:11:33 load=4.48 21.97 24.09  dotnet:99.7% pi:13.9% bees:8.8% 
10:12:03 load=4.23 20.22 23.44  dotnet:99.8% pi:13.9% bees:8.8% 
10:12:33 load=3.55 18.53 22.77  dotnet:99.8% pi:13.9% bees:8.8% 
10:13:03 load=3.17 17.01 22.13  dotnet:99.8% pi:13.9% bees:8.8% 
10:13:33 load=2.90 15.62 21.50  dotnet:99.8% pi:13.9% bees:8.8% 
10:14:03 load=2.34 14.27 20.87  pi:13.9% bees:8.8% pi:7.1% 
10:14:33 load=2.80 13.27 20.32  dotnet:100% pi:13.9% bees:8.8% 
10:15:03 load=2.92 12.28 19.77  dotnet:100% pi:13.9% bees:8.8% 
10:15:33 load=3.48 11.51 19.27  dotnet:100% pi:13.9% bees:8.8% 
10:16:03 load=2.89 10.60 18.72  dotnet:100% pi:13.8% bees:8.8% 
10:16:33 load=2.84 9.84 18.21  dotnet:100% pi:13.8% bees:8.8% 
10:17:03 load=2.89 9.19 17.73  dotnet:100% pi:13.8% bees:8.8% 
10:17:33 load=2.74 8.55 17.24  dotnet:100% pi:13.8% bees:8.8% 
10:18:03 load=2.92 8.03 16.79  dotnet:100% pi:13.8% bees:8.8% 
10:18:33 load=2.86 7.53 16.35  dotnet:100% pi:13.8% bees:8.8% 
10:19:03 load=3.38 7.22 15.96  dotnet:100% pi:13.8% bees:8.8% 
10:19:33 load=3.31 6.83 15.56  dotnet:100% pi:13.8% bees:8.8% 
10:20:03 load=3.24 6.48 15.16  pi:13.8% bees:8.8% pi:7.2% 
10:20:33 load=3.35 6.18 14.78  dotnet:422% pi:13.8% bees:8.8% 
10:21:03 load=3.87 6.05 14.46  dotnet:351% pi:13.8% bees:8.8% 
10:21:33 load=4.99 6.11 14.21  dotnet:331% pi:13.8% bees:8.8% 
10:22:03 load=4.93 5.99 13.91  dotnet:323% pi:13.8% bees:8.8% 
10:22:33 load=4.69 5.82 13.60  dotnet:318% pi:13.8% bees:8.8% 
10:23:03 load=5.56 5.93 13.39  dotnet:315% pi:13.8% bees:8.8% 
10:23:33 load=5.36 5.85 13.13  dotnet:308% pi:13.8% bees:8.8% 
